,Leq,Mode1_Q-factor,Mode1_R_divide_Q,Mode1_frequency,Mode1_shunt_impedance,Mode2_R_divide_Q,Mode2_frequency,R3_left,R3_right,Req,cocave,concave_L,nose,r0_left,r0_right,r1_left,r1_right,r2_left,r2_right,random1,random2,random3_l,random3_r,random4,random5_l,random5_r,random6_l,random6_r,random7_l,random7_r,random8_l,random8_r,distance_499.8
83,273.1284698,28772.896,431.6183,499.66034,12418908,7.6242237,738.60149,119.5836191,126.3295752,177.8604217,100.4824129,102.0500946,4.248962009,0.823775192,1.204086084,3.134151496,2.829911919,36.67092384,34.28294419,161.8604217,0.026250778,0.241275861,0.198474683,20.46931943,0.747268087,0.735788642,0.397539448,0.555881129,0.512308001,0.490208302,0.461817959,0.423696688,
84,248.6912621,26791.594,395.94073,499.66952,10607883,1.9761366,791.70471,109.2816985,112.8537386,167.5366364,100.2878466,98.362844,3.436133284,0.669272383,0.947724739,2.562809727,2.34545476,33.40816038,26.54409614,151.5366364,0.022675264,0.262111227,0.2379922,22.98378493,0.791043828,0.806524892,0.395462982,0.534121286,0.507476376,0.483616532,0.454852146,0.358516773,
85,262.7805534,27921.219,421.60228,499.64786,11771650,4.7390817,758.64351,118.6850341,120.7666204,174.1234587,98.78419326,102.706472,3.747742429,0.754715132,1.00951073,2.64255038,2.58196037,37.10456835,29.06455189,158.1234587,0.023701369,0.23119363,0.217709732,21.24731259,0.78169005,0.751837927,0.403920296,0.531632075,0.501439753,0.493324355,0.477624233,0.369252279,
86,283.5698162,28037.406,460.81593,499.66067,12920083,10.173973,709.7106,127.530428,128.7737027,176.873765,104.01,105.2736644,3.406626229,0.70883462,0.897063368,2.347601872,2.194147248,35.99234632,29.59172752,160.873765,0.021175772,0.19011402,0.182218565,26.02241075,0.742488504,0.733575959,0.433926353,0.516795075,0.520482558,0.490457668,0.448188944,0.366946512,
87,235.5677555,28930.367,355.44768,499.66043,10283232,2.2573674,846.60512,106.813323,108.1838048,177.6094549,87.74575462,94.4034041,4.428881948,0.856376829,1.067269728,3.699037751,3.824775303,36.61062258,27.97154918,161.6094549,0.027404844,0.320441954,0.311722799,19.20014603,0.801496825,0.74497254,0.387527382,0.488688564,0.501036922,0.506885343,0.476833296,0.355936897,
88,273.9928884,26787.315,454.31836,499.68058,12169969,6.3391661,723.29008,122.1303731,127.5236143,171.366233,104.3811875,104.9544382,3.447592578,0.712801377,0.938898714,2.115224294,2.297229271,35.53157953,29.6930692,155.366233,0.022190102,0.196080397,0.160579545,18.94565983,0.766110674,0.761926254,0.385471421,0.577660559,0.463635027,0.528556024,0.462178223,0.382554682,
89,248.2553526,28732.206,375.63524,499.63452,10792829,3.5803531,805.01677,106.9378149,114.046338,175.8851171,92.32893254,97.06777968,5.093110999,0.942092779,1.390072791,4.318589952,3.978731741,35.72000369,30.21972337,159.8851171,0.031854816,0.309151567,0.263228503,20.16267659,0.781999491,0.743822291,0.391351016,0.556024907,0.527345205,0.50913716,0.47316761,0.384796413,
90,274.1093662,27457.672,447.09621,499.65237,12276221,8.1218446,727.98981,122.3221513,127.3148893,173.6866154,100.3844465,106.988206,3.620493126,0.709476702,0.946206081,2.560200572,2.401708282,36.36761818,29.63873514,157.6866154,0.022960053,0.206041215,0.173634752,19.47958766,0.780624227,0.732440835,0.414995252,0.533075694,0.527798586,0.509736991,0.468441837,0.374043652,
91,262.9020825,28958.499,410.76454,499.66965,11895124,6.106306,764.93711,116.1107059,119.4742463,177.4992376,95.49395416,102.5328672,3.740443324,0.744604954,1.003603239,2.690672956,2.707359344,36.73084526,29.35559271,161.4992376,0.023160749,0.263998521,0.242677742,23.95358993,0.780008026,0.726460234,0.385965294,0.525716239,0.48423177,0.489627127,0.467779373,0.364351259,
92,266.7690087,27187.908,432.19804,499.64203,11750561,4.6249019,744.35729,116.2231034,121.6807019,170.7496339,103.6728175,102.1816523,3.506974249,0.712707269,1.041150544,2.441370613,2.240053522,36.49864763,28.52688787,154.7496339,0.022662246,0.231545493,0.195460446,23.40760484,0.766068389,0.777247837,0.404278967,0.573202043,0.497313219,0.482067428,0.48112094,0.372117708,
