,Leq,Mode1_Q-factor,Mode1_R_divide_Q,Mode1_frequency,Mode1_shunt_impedance,Mode2_R_divide_Q,Mode2_frequency,R3_left,R3_right,Req,cocave,concave_L,nose,r0_left,r0_right,r1_left,r1_right,r2_left,r2_right,random1,random2,random3_l,random3_r,random4,random5_l,random5_r,random6_l,random6_r,random7_l,random7_r,random8_l,random8_r,shunt_impedance_divide_delta
1087,226.6070544,30498.494,323.88461,498.46135,9877992.9,2.0459995,882.48998,101.1534654,104.5979244,186.4075953,83.75614792,82.39629606,5.8989489,1.342013293,1.793148877,6.168225748,4.084366089,30.30424763,33.67010131,170.4075953,0.034616702,0.385117636,0.364179776,17.41120553,0.727217396,0.739219246,0.469083145,0.472031133,0.515010479,0.35602194,0.383002566,0.418396025,0.378628494
1088,209.1705867,31371.637,285.87446,499.4884,8968349.6,1.8954017,952.58436,95.9118228,94.75989197,194.5056302,70.00725619,73.45530579,7.268507672,1.373355055,2.347873346,9.468450135,6.399445169,33.36345856,39.6914382,178.5056302,0.040718647,0.439888843,0.446615952,17.34694111,0.702348327,0.669379546,0.402027054,0.491005614,0.53001684,0.342125649,0.417732141,0.496651209,0.435181729
1089,249.2216407,31005.042,364.08202,498.7472,11288378,4.6870149,810.91901,113.6304105,106.7583928,186.1600996,88.44004317,90.56999814,5.482164701,1.176081627,1.722068012,4.98563905,3.552270435,29.28698531,34.88135329,170.1600996,0.032217686,0.309983997,0.351714042,21.96081967,0.726822903,0.709730045,0.457764751,0.483415345,0.531356025,0.35020287,0.354047406,0.433436735,0.289577316
1090,234.5092812,33257.187,326.36163,500.51508,10853870,6.1008645,866.13116,108.0171964,108.2626849,198.6872032,73.96780201,79.50428269,7.012686205,1.457026249,2.163445788,7.882321046,5.693916172,32.85358449,37.08631127,182.6872032,0.038386302,0.385128826,0.383731421,17.98391134,0.67804807,0.630830487,0.432309827,0.48096819,0.519395468,0.358575925,0.380081587,0.421707529,0.316920478
1091,207.8312605,28550.49,294.66346,497.24728,8412786.1,0.9144186,954.09165,95.6661767,96.87849805,179.6711668,86.12412344,76.42867183,5.541021166,1.568341704,1.825836961,6.308311434,3.683830593,36.0216482,34.48126649,163.6711668,0.033854596,0.395016198,0.387349593,14.07426445,0.735487738,0.828788924,0.615140466,0.50153612,0.539874201,0.342993042,0.474789121,0.463230284,0.471808285
1092,259.0419803,32025.812,378.2248,499.57442,12112956,8.94266,788.9429,119.4352671,114.1004326,191.1789261,83.99358546,94.06138896,5.596085648,1.186911741,1.695022445,4.737205725,3.785537518,24.67899877,37.02789666,175.1789261,0.031944971,0.295711366,0.327169941,20.17144622,0.726225061,0.648494004,0.431091839,0.476158699,0.508000941,0.36387952,0.287510669,0.429644441,0.237033557
1093,231.9016191,29463.612,339.39273,499.72012,9999735.7,2.1904849,860.69151,107.2743472,99.93698246,179.9784154,88.34674177,86.95371765,5.582046722,1.210686591,1.846317054,5.074936173,3.222032507,31.66451925,32.35664114,163.9784154,0.034041351,0.322747434,0.369070243,17.35292471,0.749919022,0.761932945,0.45197243,0.479497615,0.520126993,0.310194961,0.401518998,0.42847892,0.370145925
1094,154.2377936,21849.703,194.21693,500.54962,4243582.1,0.99754426,1251.3466,70.30211653,57.51074528,151.5107345,68.9869768,67.50575879,6.858427831,1.654918335,2.297806493,8.051785099,5.596877897,20.61445833,18.7787322,135.5107345,0.050611694,0.453549506,0.552975405,13.63356057,0.875346531,0.894553471,0.521173434,0.500570786,0.537012012,0.330696063,0.365169454,0.391668298,0.733342009
1095,265.8760171,32274.127,387.1141,499.90939,12493770,10.504405,772.78181,122.9947248,113.3548045,191.3463382,85.54026761,95.46304443,5.3826783,1.154401357,1.632644118,4.397109597,3.508676612,31.14122839,35.13503113,175.3463382,0.030697409,0.276346927,0.333064465,19.88656752,0.718101959,0.643459824,0.436348058,0.466838857,0.508497924,0.350280194,0.358824025,0.410186204,0.213178976
1096,237.3905522,30873.334,345.19467,499.39527,10657310,3.2347208,847.67258,109.1230166,108.0998304,187.0215272,85.2191412,86.80637958,5.84057228,1.253243297,1.720952434,5.552516251,3.958865168,33.19023634,34.57253819,171.0215272,0.034151094,0.339372892,0.345567227,19.14451908,0.731338116,0.717965735,0.444947133,0.461704154,0.517750734,0.361810459,0.404803008,0.422056385,0.328858193
